variavel,inicio,fim,rotulo,valores_validos,observacao
v001,1,5,"Pasta (número da pasta no cadastro nacional de arquivamento; par, alocado em blocos por UF)",,Os dois primeiros dígitos NÃO são o código da UF: o Paraná começa em 70002 e Fernando de Noronha em 27002. A UF vem do nome do arquivo.
v002,6,8,Boletim de Amostra dentro da pasta,,"O boletim é a família, não o domicílio: um domicílio com mais de uma família tem um boletim por família."
v003,9,10,Identificação do registro / ordem da pessoa no boletim,,01 a 49; sequencial sem falha dentro de cada boletim.
v004,11,11,Dígito verificador,,Em branco em 5.371 registros. Nenhum dos esquemas de verificação testados o reproduz: não serve de teste de integridade.
V200,12,13,Número da pessoa,,Cópia de v003 em 100% dos registros; serve de conferência.
V201,14,14,Dígito verificador,,Cópia de v004 em 100% dos registros; serve de conferência.
V202,15,15,Sexo,1;2;3;4;5;6,
V203,16,16,Relação Com Chefe,7;8;9;0;1;2;3;4;5;6,
V204,17,17,Tipo de Idade - Meses Ou Anos,0;1;5;9,Valores adicionados com base na sintaxe em SPSS - Não presentes no dicionário de código
AGE,18,19,,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,
V205,20,20,Religião,5;6;7;8;9;0;1;2;3;4;,
V206,21,21,Cor,4;5;6;7;8;9,
V207,22,23,Naturalidade,01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,
V208,24,24,Nacionalidade,9;0;1,
V99,25,25,Filler,,Cópia de V208 em 100% dos registros; serve de conferência.
V209,26,26,"Procedência: Urbana Ou Rural 
(Para pessoas não naturais do município onde habitam)",0;1;2;3,
V299,27,27,Tempo de Imigração,2;3;4;5;6;7;8;9;0;1,
V210,28,29,Lugar Residência Anterior,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,
V211,30,30,Alfabetização,;0;1;2;3;4,
V212,31,31,Última Série Concluiu,;4;5;6;7;8;9;0;1;2,
V213,32,32,Grau do Curso,;2;3;4;5;6;1;0,
V214,33,34,Curso Completo,00;10;11;13;14;15;16;17;19;20;21;22;24;25;26;27;29;33;34;36;38;39;40;41;42;44;45;47;49;50;51;52;53;54;57;60;61;62;63;64;65;66;67;68;70;71;72;73;74;76;78;79;89;99;NA,
V215,35,35,Estado Conjugal,;6;7;8;9;0;1;2;3;4;5,
V216,36,37,Ano do Casamento,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;NA,
V217,38,39,Filhos Tidos,00;01;02;03;03;04;05;06;07;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;NA,
V218,40,41,Filhos Vivos,00;01;02;03;03;04;05;06;07;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;NA,
V219,42,42,Rendimentos,;5;6;7;8;9;0;1;2;3;4,
V220,43,43,Atividade não Econômica,;4;5;6;7;8;9;0;1;2;3,
