variavel,inicio,fim,rotulo,valores_validos,observacao
UF,1,2,Unidade da Federação,00;01;02;03;04;06;10;12;14;17;19;21;24;25;30;31;40;50;51;52;54;60;71;74;81;91;94;97,""
V116,3,6,Município (Não há rótulos identificadores para os códigos de municípios -- esta amostra não é representativa para essa unidade geográfica),"",""
REC_TYPE,17,17,,1;2;3,""
V118,18,18,Situação,1;3;5,""
V101,19,19,Espécie do Domicílio,1;2;3;4;5;9,""
V102,20,20,Tipo do Domicílio,;4;5;6;7,""
V103,21,21,Condição de Ocupação,;7;8;9;0,""
V104,22,22,Aluguel Mensal,;0;1;2;3;4;5;6;7;8;9,""
V105,23,23,Abastecimento de Água,;9;0;1;2;3;4,""
V106,24,24,Instalação Sanitária,;4;5;6;7;8;9,""
V107,25,25,Fogão,;9;0;1;2;3;4;5,""
V108,26,26,Iluminação Elétrica,;5;6;7,""
V109,27,27,Rádio,;7;8;9,""
V110,28,28,Geladeira,;9;0;1,""
V111,29,29,Televisão,;1;2;3,""
V112,30,31,Total de Comodos,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;NA,""
V113,33,34,Peças Servindo Domitório,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;NA,""
BARRA,55,55,,\,""
ID,56,62,,"",""
